title,description,creator,location,date,dateCreated:end,source,type,content_type,format,display_template,subject,filename,object_location,image_small,image_thumb,rights,object_thumb,object_location,reference_url
"Deary Library Construction","Construction of the Deary Library.","","Deary, ID","1987","1988","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Library; Construction; Windows; Deary; Idaho","04-06-023.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-023.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-06-023_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-023_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-023_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-023.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-06-023.html"
"Old Deary Library","The old library in Deary with a porch and a sign in the front yard made of a cross section of a tree stump.","","Deary, ID","1980","1985","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Library; Sign; Snow; Deary; Idaho","04-06-024.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-024.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-06-024_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-024_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-024_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-024.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-06-024.html"
"Pine Crest Cemetery Sign","Pine Crest Cemetery sign in the pines.","","Deary, ID","1980","1985","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Cemetery; Sign; Pine trees; Deary; Idaho","04-07-001.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-07-001.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-07-001_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-07-001_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-07-001_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-07-001.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-07-001.html"
"Deary Cornet Band","Deary Cornet Band sign is on a bass drum and three rows of male members are holding cornets, baritone horns, clarinet and drums.","","Deary, ID","1920","1930","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Musical instruments; Band; Uniforms; Deary; Idaho","04-09-001.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-09-001.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-09-001_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-09-001_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-09-001_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-09-001.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-09-001.html"
"Chris Peterson, Woodcutter","Chris Peterson, Deary woodcutter, driving a motorized saw.","","Deary, ID","1910","1915","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Buzz saw; Gears; Metal wheels; Engine; Deary; Idaho","04-09-002.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-09-002.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-09-002_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-09-002_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-09-002_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-09-002.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-09-002.html"
"Deary Quilters","Deary quilters group, the women who made a friendship quilt for Sam and Belle Sturman when the couple moved away in 1939. Includes Mrs. Clarence Sturman (Goldie), Mrs Sam Sturman, (Belle), Mrs John Sturman (Rose), Mrs Carl Johnson, Mrs. Drury, Mrs Louis Hansen (Amanda), Mrs Slocum, Ellie Miller, Bertha Alber, Viola Baker, Laura Femerite, Estelle Darr.","","Deary, ID","1939","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Women&#39;s group; Quilters; Fashion; Deary; Idaho","04-11-003.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-11-003.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-11-003_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-11-003_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-11-003_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-11-003.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-11-003.html"
"Avon Busy Bees","The Avon Busy Bees, a ladies&#39; social club which met in the Avon Church, the only major building left in town. The Avon Busy Bees was originally formed in 1920 and were still meeting in 1999.  Four of the women are identified:  Marilyn Osterberg in blue top, center; Marie Hatke, in pink shirt to right of Marilyn; Grace Elliott in sunglasses next to Marie; Lynn Martin, next to Grace.","Spokesman-Review","Deary, ID","1999-02-22","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Women&#39;s group; Social club; Church; Children; Deary; Idaho","04-11-004.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-11-004.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-11-004_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-11-004_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-11-004_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-11-004.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-11-004.html"
"Threshing grain","A grain threshing scene, showing a thresher/grain separator, straw stacks, sacked grain, and threshing crew of eleven.  William Asplund&#39;s outfit.","","Deary, ID","1909","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Harvesting; Farm work; Threshing machine; Rural; Deary; Idaho","04-12-001.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-12-001.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-12-001_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-12-001_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-12-001_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-12-001.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-12-001.html"
"Steam thresher crew and cook wagon","Harvest scene, showing steam engine and belt, cookwagon, horses, stacks of straw, steam thresher crew, and straw stackers (?) in the background.","","Deary, ID","1899","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Harvesting; Farm work; Horses; Cookwagon; Deary; Idaho","04-12-002.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-12-002.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-12-002_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-12-002_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-12-002_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-12-002.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-12-002.html"
"Cut-over land","Cut-over land, as left by logger - selling for $20 per acre.","Dimond","Deary, ID","1920","1930","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Timber; Logging; Trees; Deary","04-12-003.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-12-003.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-12-003_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-12-003_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-12-003_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-12-003.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-12-003.html"

